game_date,inning,at_bat_number,pitch_number,pitch_type,pitch_name,stand,balls,strikes,release_speed,effective_speed,release_spin_rate,spin_axis,release_extension,release_pos_x,release_pos_z,pfx_x,pfx_z,arm_angle,plate_x,plate_z,sz_top,sz_bot,zone,events,description,type,launch_speed,launch_angle,launch_speed_angle,hit_distance_sc,estimated_ba_using_speedangle,estimated_slg_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,hc_x,hc_y,start_group
2026-06-03,1,4,1,SI,Sinker,L,0,0,91.9,92.8,2004.0,235.0,6.8,-1.93,5.15,-1.3,0.25,29.2,0.2760141042977264,3.263198039321089,3.368323491,1.699901575,2,,called_strike,S,,,,,,,,,,,,,,Good
2026-06-03,1,4,2,FC,Cutter,L,0,1,90.0,91.0,2467.0,220.0,6.7,-2.0,5.1,-0.24,0.19,24.3,-0.0892535432519434,3.3341050712347298,3.368323491,1.699901575,2,,called_strike,S,,,,,,,,,,,,,,Good
2026-06-03,1,4,3,FF,4-Seam Fastball,L,0,2,92.4,94.1,2125.0,241.0,6.9,-1.93,5.08,-0.56,0.9,27.2,-0.1124775339175221,3.1237156873597858,3.368323491,1.699901575,2,,foul,S,81.6,7.0,,106.0,,,,,,,,,,Good
2026-06-03,1,4,4,FF,4-Seam Fastball,L,0,2,92.6,94.3,2120.0,228.0,7.0,-1.78,5.14,-0.56,0.88,27.2,0.0144932860001988,2.963246392965173,3.368323491,1.699901575,2,strikeout,swinging_strike,S,,,,,,,0.0,0.0,1.0,0.0,0.0,,,Good
2026-06-03,1,5,1,SI,Sinker,R,0,0,93.1,94.6,2019.0,242.0,7.2,-1.69,5.14,-1.13,0.11,26.5,1.6035537954699068,2.6702992216136683,3.127854331,1.578543307,12,,ball,B,,,,,,,,,,,,,,Good
2026-06-03,1,5,2,SI,Sinker,R,1,0,92.1,93.2,2019.0,237.0,7.0,-1.75,5.12,-1.19,-0.02,27.6,0.8378095841709949,2.725889935439428,3.127854331,1.578543307,12,,called_strike,S,,,,,,,,,,,,,,Good
2026-06-03,1,5,3,SI,Sinker,R,1,1,93.0,94.3,1991.0,239.0,7.0,-1.82,5.18,-1.11,0.06,28.3,0.0389717040695978,4.290623217833968,3.127854331,1.578543307,12,,ball,B,,,,,,,,,,,,,,Good
2026-06-03,1,5,4,ST,Sweeper,R,2,1,83.5,84.2,2624.0,64.0,6.8,-2.15,4.92,1.66,0.08,20.7,1.0038864211575256,2.22961998768342,3.127854331,1.578543307,14,field_out,hit_into_play,X,61.7,-17.0,2.0,7.0,0.041,0.052,0.041,0.0,1.0,0.0,0.0,147.42,161.38,Good
2026-06-03,1,6,1,ST,Sweeper,L,0,0,84.2,85.2,2641.0,49.0,6.8,-2.09,4.84,1.35,-0.09,19.8,1.993974070052236,0.7418898666289788,3.21035105,1.620177165,14,,ball,B,,,,,,,,,,,,,,Good
2026-06-03,1,6,2,ST,Sweeper,L,1,0,84.2,84.9,2742.0,57.0,6.7,-2.16,4.84,1.56,0.0,20.0,1.0801203069898393,1.3141960542285762,3.21035105,1.620177165,14,,ball,B,,,,,,,,,,,,,,Good
2026-06-03,1,6,3,CH,Changeup,L,2,0,85.9,86.8,1539.0,274.0,6.7,-2.08,4.78,-0.95,-0.42,18.0,-0.1446418544638831,1.2129700573604132,3.21035105,1.620177165,13,,foul,S,42.8,-39.0,,2.0,,,,,,,,,,Good
2026-06-03,1,6,4,CH,Changeup,L,2,1,86.2,87.2,1481.0,273.0,6.8,-2.08,4.79,-0.62,-0.55,19.2,0.4038844049106361,1.1609419589954753,3.21035105,1.620177165,14,,swinging_strike,S,,,,,,,,,,,,,,Good
2026-06-03,1,6,5,CH,Changeup,L,2,2,85.9,87.2,1469.0,276.0,6.9,-2.06,4.78,-0.47,-0.53,18.7,-0.5040491228683448,1.0570763745377345,3.21035105,1.620177165,13,,foul,S,,,,,,,,,,,,,,Good
