game_date,inning,at_bat_number,pitch_number,pitch_type,pitch_name,stand,balls,strikes,release_speed,effective_speed,release_spin_rate,spin_axis,release_extension,release_pos_x,release_pos_z,pfx_x,pfx_z,arm_angle,plate_x,plate_z,sz_top,sz_bot,zone,events,description,type,launch_speed,launch_angle,launch_speed_angle,hit_distance_sc,estimated_ba_using_speedangle,estimated_slg_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,hc_x,hc_y,start_group
2026-03-25,1,1,1,SI,Sinker,L,0,0,92.7,93.5,1926.0,251.0,6.8,-1.84,5.07,-1.9,0.25,22.2,-0.1097647042449729,3.1848132280474264,3.138385827,1.583858268,2,,called_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,1,1,2,CH,Changeup,L,0,1,85.4,86.7,1577.0,278.0,6.8,-1.99,4.83,-0.95,-0.66,18.8,0.3049467396299761,1.310579256152015,3.138385827,1.583858268,14,,swinging_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,1,1,3,FF,4-Seam Fastball,L,0,2,92.9,94.0,2062.0,235.0,6.9,-1.72,5.04,-1.04,0.8,21.4,-0.5300195722634236,3.911511097903825,3.138385827,1.583858268,11,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,1,1,4,CH,Changeup,L,1,2,87.1,88.2,1582.0,274.0,6.8,-2.04,4.81,-1.11,-0.55,18.1,-0.0950603838829391,1.5147799997519886,3.138385827,1.583858268,8,,foul,S,,,,,,,,,,,,,,Bad
2026-03-25,1,1,5,CH,Changeup,L,1,2,86.9,88.2,1491.0,274.0,7.0,-1.97,4.78,-0.99,-0.43,17.7,0.6226496437589311,1.2335328668369754,3.138385827,1.583858268,14,,foul,S,9.6,51.0,,4.0,,,,,,,,,,Bad
2026-03-25,1,1,6,FF,4-Seam Fastball,L,1,2,93.6,94.6,2005.0,242.0,6.8,-1.67,5.07,-0.93,0.79,22.0,0.3025772135706008,3.1325540217453365,3.138385827,1.583858268,3,strikeout,swinging_strike,S,,,,,,,0.0,0.0,1.0,0.0,0.0,,,Bad
2026-03-25,1,2,1,SI,Sinker,R,0,0,92.5,93.1,1938.0,243.0,6.7,-1.73,5.05,-1.48,0.12,22.9,-0.6782456185926895,3.789285093050404,3.522785433,1.777854331,11,,called_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,1,2,2,CH,Changeup,R,0,1,88.3,89.5,1618.0,275.0,7.0,-1.78,4.81,-1.05,-0.44,17.7,2.328145392213141,0.718349205056434,3.522785433,1.777854331,14,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,1,2,3,CH,Changeup,R,1,1,86.8,88.6,1442.0,274.0,6.9,-1.82,4.76,-0.61,-0.52,18.9,-0.7686901385893657,1.8411338419245384,3.522785433,1.777854331,7,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,1,2,4,SI,Sinker,R,2,1,92.8,93.5,1958.0,252.0,6.9,-1.66,4.98,-1.62,0.14,20.7,0.9942044339155224,3.6363665305237465,3.522785433,1.777854331,12,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,1,2,5,SI,Sinker,R,3,1,92.0,93.0,1887.0,242.0,6.9,-1.72,4.98,-1.38,-0.06,20.1,-0.403698028762679,3.430612383769029,3.522785433,1.777854331,1,,foul,S,81.7,69.0,,162.0,,,,,,,,,,Bad
2026-03-25,1,2,6,FF,4-Seam Fastball,R,3,2,93.7,94.8,2016.0,238.0,6.9,-1.64,5.12,-1.15,0.97,24.0,0.3848278389801254,3.5053509726916925,3.522785433,1.777854331,3,,foul,S,91.9,74.0,,99.0,,,,,,,,,,Bad
2026-03-25,1,2,7,SI,Sinker,R,3,2,92.6,93.1,1888.0,238.0,6.7,-1.75,4.97,-1.48,0.09,22.4,-1.6077091128835317,3.14618380961567,3.522785433,1.777854331,11,strikeout,swinging_strike,S,,,,,,,0.0,0.0,1.0,0.0,0.0,,,Bad
